
Dataset Name,Dependency Type,Cue Reliability,n-gram BLiMP Score
Adjunct Island,Non-Local,Weak,48
Anaphor Gender Agreement,Local,Strong,44
Anaphor Number Agreement,Local,Strong,52
Animate Subject Passive,Local,Weak,70
Determiner Noun Agreement with Adjective 2,Local,Weak,50
Distractor Agreement Relative Clause,Non-Local,Weak/Conflicting,22
Ellipsis N Bar 1,Non-Local,Weak,23
Existential There Quantifiers 1,Local,Strong,91
Irregular past participle Adj,Lexical,Strong,79
Left Branch Island,Non-Local,Weak,57
Principle A C Command,Non-Local,Weak,58
WH Question Object Gap,Non-Local,Weak,53
WH Question Object Gap Long,Non-Local,Weak,Nan
WH Question Subject Gap,Non-local,Strong,82
WH Question Subject Gap Long,Non-Local,Strong,86
