model name,checkpoint,grammatical phenomenon,dataset language,accuracy,perplexity good,perplexity bad,dataset path,timestamp
english,checkpoint-500,anaphor_gender_agreement,english,0.591,512.305693294459,567.8628611092153,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511.jsonl,2025-06-20T11:49:55.315673
english,checkpoint-500,anaphor_gender_agreement,english,0.591,512.305693294459,567.8628611092153,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511.jsonl,2025-06-20T11:50:50.376160
english,checkpoint-1000,anaphor_gender_agreement,english,0.801,384.33869779909026,504.4281273220391,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511.jsonl,2025-06-20T11:51:35.205493
english,checkpoint-1500,anaphor_gender_agreement,english,0.81,408.0455715866119,544.0373283691989,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511.jsonl,2025-06-20T11:52:21.440010
english,checkpoint-2000,anaphor_gender_agreement,english,0.834,357.6148466186772,538.1865358908399,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511.jsonl,2025-06-20T11:53:00.159043
english,checkpoint-2500,anaphor_gender_agreement,english,0.82,363.6532818124003,559.9112673184196,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511.jsonl,2025-06-20T11:53:34.359006
english,checkpoint-3000,anaphor_gender_agreement,english,0.819,349.26623194799754,537.1119884247242,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511.jsonl,2025-06-20T11:54:08.970138
shuffle_nondeterministic,checkpoint-500,anaphor_gender_agreement,shuffle_nondeterministic,0.549,4395.29626720303,5026.703440658906,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511%shuffle_nondeterministic.jsonl,2025-06-20T14:13:08.258936
shuffle_nondeterministic,checkpoint-1000,anaphor_gender_agreement,shuffle_nondeterministic,0.569,3930.406341604827,4827.854458087898,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511%shuffle_nondeterministic.jsonl,2025-06-20T14:13:35.401129
shuffle_nondeterministic,checkpoint-1500,anaphor_gender_agreement,shuffle_nondeterministic,0.604,3328.6723080422125,4442.076696049772,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511%shuffle_nondeterministic.jsonl,2025-06-20T14:14:03.504398
shuffle_nondeterministic,checkpoint-2000,anaphor_gender_agreement,shuffle_nondeterministic,0.614,3176.526989401861,4380.218807375107,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511%shuffle_nondeterministic.jsonl,2025-06-20T14:14:30.707962
shuffle_nondeterministic,checkpoint-2500,anaphor_gender_agreement,shuffle_nondeterministic,0.627,3095.1277296478484,4343.936699436389,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511%shuffle_nondeterministic.jsonl,2025-06-20T14:14:58.808767
shuffle_nondeterministic,checkpoint-3000,anaphor_gender_agreement,shuffle_nondeterministic,0.631,2925.1769992138425,4131.7074084706765,data_generation/outputs/impossible_blimp/v2/anaphor_gender_agreement_20250618_113511%shuffle_nondeterministic.jsonl,2025-06-20T14:15:27.569613
