model name,checkpoint,grammatical phenomenon,dataset language,accuracy,perplexity good,perplexity bad,dataset path,timestamp
english,checkpoint-500,distractor_agreement_relative_clause,english,0.16666666666666666,1041.0893210250656,923.9317351420555,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118.jsonl,2025-06-21T14:54:06.841417
english,checkpoint-1000,distractor_agreement_relative_clause,english,0.4266666666666667,942.9911828664146,903.8650484691939,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118.jsonl,2025-06-21T14:55:14.750503
english,checkpoint-1500,distractor_agreement_relative_clause,english,0.41,986.3488318895868,946.5684614698328,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118.jsonl,2025-06-21T14:56:19.865548
english,checkpoint-2000,distractor_agreement_relative_clause,english,0.4666666666666667,975.1983749822685,964.8247869196703,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118.jsonl,2025-06-21T14:57:13.171380
english,checkpoint-2500,distractor_agreement_relative_clause,english,0.41,1081.76963046507,1040.9070965795333,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118.jsonl,2025-06-21T14:58:03.227965
english,checkpoint-3000,distractor_agreement_relative_clause,english,0.43,1102.1322591426422,1067.9762268420884,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118.jsonl,2025-06-21T14:58:53.108423
shuffle_local3,checkpoint-500,distractor_agreement_relative_clause,shuffle_local3,0.31333333333333335,2655.521768330644,2478.206628702072,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%shuffle_local3.jsonl,2025-06-21T15:06:28.319355
shuffle_local3,checkpoint-1000,distractor_agreement_relative_clause,shuffle_local3,0.31666666666666665,1625.5545390764435,1471.7447085673343,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%shuffle_local3.jsonl,2025-06-21T15:07:02.614762
shuffle_local3,checkpoint-1500,distractor_agreement_relative_clause,shuffle_local3,0.33666666666666667,1450.041842753129,1340.1304449465508,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%shuffle_local3.jsonl,2025-06-21T15:07:38.500922
shuffle_local3,checkpoint-2000,distractor_agreement_relative_clause,shuffle_local3,0.41,1432.927710960382,1329.742797269569,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%shuffle_local3.jsonl,2025-06-21T15:08:12.819708
shuffle_local3,checkpoint-2500,distractor_agreement_relative_clause,shuffle_local3,0.43333333333333335,1525.8622619076255,1440.687977762988,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%shuffle_local3.jsonl,2025-06-21T15:08:49.091593
shuffle_local3,checkpoint-3000,distractor_agreement_relative_clause,shuffle_local3,0.44333333333333336,1554.7419509169156,1472.791038570448,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%shuffle_local3.jsonl,2025-06-21T15:09:22.261614
reverse_full,checkpoint-500,distractor_agreement_relative_clause,reverse_full,0.2866666666666667,1435.7686565138079,1293.3268339919646,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%reverse_full.jsonl,2025-06-21T15:09:57.181542
reverse_full,checkpoint-1000,distractor_agreement_relative_clause,reverse_full,0.3233333333333333,1227.0636799323288,1130.0487013015775,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%reverse_full.jsonl,2025-06-21T15:10:34.117776
reverse_full,checkpoint-1500,distractor_agreement_relative_clause,reverse_full,0.39666666666666667,1274.325444444,1210.1731749801806,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%reverse_full.jsonl,2025-06-21T15:11:09.585765
reverse_full,checkpoint-2000,distractor_agreement_relative_clause,reverse_full,0.43333333333333335,1257.577912111564,1228.5250297111613,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%reverse_full.jsonl,2025-06-21T15:11:46.239350
reverse_full,checkpoint-2500,distractor_agreement_relative_clause,reverse_full,0.44,1250.7068229266727,1240.9128099123445,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%reverse_full.jsonl,2025-06-21T15:12:52.415763
reverse_full,checkpoint-3000,distractor_agreement_relative_clause,reverse_full,0.43,1280.6570013218902,1257.6590197123571,data_generation/outputs/impossible_blimp/v2/distractor_agreement_relative_clause_20250616_174118%reverse_full.jsonl,2025-06-21T15:14:01.318651
