model name,checkpoint,grammatical phenomenon,dataset language,accuracy,perplexity good,perplexity bad,dataset path,timestamp
english,checkpoint-500,irregular_past_participle_adjectives,english,0.899,914.5746138249514,1967.948639455,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423.jsonl,2025-06-21T16:08:50.390996
english,checkpoint-1500,irregular_past_participle_adjectives,english,0.998,724.2721400238197,1573.2362118337219,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423.jsonl,2025-06-21T16:10:41.541813
english,checkpoint-2000,irregular_past_participle_adjectives,english,0.994,658.8915672056559,1326.9205685687207,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423.jsonl,2025-06-21T16:11:37.805729
english,checkpoint-2500,irregular_past_participle_adjectives,english,0.97,755.4433027376083,1591.3815628619006,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423.jsonl,2025-06-21T16:12:31.810961
english,checkpoint-3000,irregular_past_participle_adjectives,english,0.98,712.3525367498718,1475.8716766385016,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423.jsonl,2025-06-21T16:13:22.111630
shuffle_nondeterministic,checkpoint-500,irregular_past_participle_adjectives,shuffle_nondeterministic,0.576,1670.383183628096,1875.4374230709636,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_nondeterministic.jsonl,2025-06-21T16:14:06.337407
shuffle_nondeterministic,checkpoint-1000,irregular_past_participle_adjectives,shuffle_nondeterministic,0.516,1701.4529968400423,1764.35013656849,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_nondeterministic.jsonl,2025-06-21T16:14:48.515961
shuffle_nondeterministic,checkpoint-1500,irregular_past_participle_adjectives,shuffle_nondeterministic,0.555,1469.3854808699884,1635.823575728019,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_nondeterministic.jsonl,2025-06-21T16:15:26.206023
shuffle_nondeterministic,checkpoint-2000,irregular_past_participle_adjectives,shuffle_nondeterministic,0.541,1458.9241197097026,1585.0305569528966,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_nondeterministic.jsonl,2025-06-21T16:16:04.810864
shuffle_nondeterministic,checkpoint-2500,irregular_past_participle_adjectives,shuffle_nondeterministic,0.557,1439.903194010773,1605.7259356110835,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_nondeterministic.jsonl,2025-06-21T16:16:45.261089
shuffle_nondeterministic,checkpoint-3000,irregular_past_participle_adjectives,shuffle_nondeterministic,0.552,1363.1816814892477,1532.257104535397,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_nondeterministic.jsonl,2025-06-21T16:17:34.340025
shuffle_deterministic21,checkpoint-500,irregular_past_participle_adjectives,shuffle_deterministic21,0.761,1696.3625088149156,1998.7699137305701,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_deterministic21.jsonl,2025-06-21T16:18:23.529811
shuffle_deterministic21,checkpoint-1000,irregular_past_participle_adjectives,shuffle_deterministic21,0.734,1704.21411416313,1922.7870298830414,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_deterministic21.jsonl,2025-06-21T16:19:09.137252
shuffle_deterministic21,checkpoint-1500,irregular_past_participle_adjectives,shuffle_deterministic21,0.829,1752.159921219628,2148.2204596323404,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_deterministic21.jsonl,2025-06-21T16:19:48.859473
shuffle_deterministic21,checkpoint-2000,irregular_past_participle_adjectives,shuffle_deterministic21,0.757,1374.6437649348259,1585.3076519146482,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_deterministic21.jsonl,2025-06-21T16:20:27.727297
shuffle_deterministic21,checkpoint-2500,irregular_past_participle_adjectives,shuffle_deterministic21,0.794,1487.5152239466317,1865.2372307825435,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_deterministic21.jsonl,2025-06-21T16:21:05.629623
shuffle_deterministic21,checkpoint-3000,irregular_past_participle_adjectives,shuffle_deterministic21,0.804,1405.9621022253828,1779.2809804458493,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_deterministic21.jsonl,2025-06-21T16:21:43.558894
shuffle_local3,checkpoint-500,irregular_past_participle_adjectives,shuffle_local3,0.872,1005.0462088809554,1734.4358887017213,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_local3.jsonl,2025-06-21T16:22:23.033125
shuffle_local3,checkpoint-1000,irregular_past_participle_adjectives,shuffle_local3,0.975,421.4982421670275,793.6740085870786,data_generation/outputs/impossible_blimp/v2/irregular_past_participle_adjectives_20250618_141423%shuffle_local3.jsonl,2025-06-21T16:23:02.480071
